Symbol,Company,Industry,Series,Face Value(Rs.),Purpose,Ex-Date,Record Date,BC Start Date,BC End Date,No Delivery Start Date,No Delivery End Date
VINDHYATEL,Vindhya Telelinks Limited,-,EQ,10, Annual General Meeting/Dividend Rs 10/- Per Share,23-Jul-18,-,25-Jul-18,31-Jul-18,-,-
VGUARD,V-Guard Industries Limited,-,EQ,1, Annual General Meeting/Dividend- Re 0.70 Per Share,23-Jul-18,-,25-Jul-18,31-Jul-18,-,-
EIHOTEL,EIH Limited,-,EQ,2, Dividend- Re 0.90 Per Share,23-Jul-18,-,25-Jul-18,27-Jul-18,-,-
SPECTACLE,Spectacle Ventures Limited,-,EQ,1, Annual General Meeting,23-Jul-18,-,25-Jul-18,27-Jul-18,-,-
TBZ,Tribhovandas Bhimji Zaveri Limited,-,EQ,10, Annual General Meeting/Dividend- Re 0.75 Per Share,23-Jul-18,-,25-Jul-18,31-Jul-18,-,-
JAYSREETEA,Jayshree Tea & Industries Limited,-,EQ,5, Annual General Meeting/Dividend- Re 0.50 Per Share,23-Jul-18,-,25-Jul-18,01-Aug-18,-,-
BIRLACABLE,Birla Cable Limited,-,EQ,10, Annual General Meeting/Dividend Re 1/- Per Share,23-Jul-18,-,25-Jul-18,31-Jul-18,-,-
IIFL,IIFL Finance Limited,-,EQ,2, Annual General Meeting,23-Jul-18,-,25-Jul-18,31-Jul-18,-,-
SUBEX,Subex Limited,-,EQ,10, Annual General Meeting,23-Jul-18,-,25-Jul-18,31-Jul-18,-,-
TITAN,Titan Company Limited,-,EQ,1, Annual General Meeting/Dividend- Rs 3.75 Per Share,23-Jul-18,-,25-Jul-18,03-Aug-18,-,-
MPSLTD,MPS Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 12 Per Share (Purpose Revised),23-Jul-18,-,25-Jul-18,27-Jul-18,-,-
IRBINVIT,IRB InvIT Fund,-,IV,102, Annual General Meeting,23-Jul-18,-,25-Jul-18,27-Jul-18,-,-
TASTYBITE,Tasty Bite Eatables Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 2 Per Share,23-Jul-18,-,25-Jul-18,09-Aug-18,-,-
STARCEMENT,Star Cement Limited,-,EQ,1, Annual General Meeting/Dividend- Re 1 Per Share,23-Jul-18,-,25-Jul-18,31-Jul-18,-,-
SHYAMCENT,Shyam Century Ferrous Limited,-,EQ,1, Annual General Meeting,23-Jul-18,-,25-Jul-18,31-Jul-18,-,-
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,-,EQ,1, Annual General Meeting / Dividend- Re 0.65 Per Share,23-Jul-18,-,25-Jul-18,31-Jul-18,-,-
IDFCFIRSTB,IDFC First Bank Limited,-,EQ,10, Dividend Re 0.75 Per Share,23-Jul-18,-,25-Jul-18,31-Jul-18,-,-
GODREJAGRO,Godrej Agrovet Limited,-,EQ,10, Annual General Meeting / Dividend- Rs 4.5 Per Share,23-Jul-18,-,25-Jul-18,28-Jul-18,-,-
UFLEX,UFLEX Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 2 Per Share,24-Jul-18,-,26-Jul-18,02-Aug-18,-,-
AGCNET,AGC Networks Limited,-,EQ,10, Annual General Meeting,24-Jul-18,-,26-Jul-18,01-Aug-18,-,-
THANGAMAYL,Thangamayil Jewellery Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 3.50 Per Share,24-Jul-18,-,26-Jul-18,01-Aug-18,-,-
REPRO,Repro India Limited,-,EQ,10, Annual General Meeting,24-Jul-18,-,26-Jul-18,01-Aug-18,-,-
CIGNITITEC,Cigniti Technologies Limited,-,EQ,10, Annual General Meeting (Date Revised),24-Jul-18,-,26-Jul-18,30-Jul-18,-,-
CARBORUNIV,Carborundum Universal Limited,-,EQ,1, Dividend- Rs 1.25 Per Share,25-Jul-18,-,27-Jul-18,03-Aug-18,-,-
MEP,MEP Infrastructure Developers Limited,-,EQ,10, Annual General Meeting/Dividend- Re0.30 Per Share,25-Jul-18,-,27-Jul-18,02-Aug-18,-,-
MAGMA,Magma Fincorp Limited,-,EQ,2, Dividend- Re 0.80 Per Share,25-Jul-18,-,27-Jul-18,02-Aug-18,-,-
WOCKPHARMA,Wockhardt Limited,-,EQ,5, Annual General Meeting,25-Jul-18,-,27-Jul-18,04-Aug-18,-,-
EXIDEIND,Exide Industries Limited,-,EQ,1, Annual General Meeting / Dividend- Re 0.80 Per Share,25-Jul-18,-,27-Jul-18,02-Aug-18,-,-
MHRIL,Mahindra Holidays & Resorts India Limited,-,EQ,10, Annual General Meeting / Dividend- Rs 4 Per Share,25-Jul-18,-,27-Jul-18,02-Aug-18,-,-
SOBHA,Sobha Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 7 Per Share,25-Jul-18,-,27-Jul-18,27-Jul-18,-,-
EIHAHOTELS,EIH Associated Hotels Limited,-,EQ,10, Annual General Meeting/Dividend Rs 4.50/- Per Share,25-Jul-18,-,27-Jul-18,29-Jul-18,-,-
SHANTIGEAR,Shanthi Gears Limited,-,EQ,1, Annual General Meeting,25-Jul-18,-,27-Jul-18,02-Aug-18,-,-
AKZOINDIA,Akzo Nobel India Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 22 Per Share,25-Jul-18,-,27-Jul-18,02-Aug-18,-,-
TCIDEVELOP,TCI Developers Limited,-,EQ,10, Annual General Meeting,25-Jul-18,-,27-Jul-18,01-Aug-18,-,-
DEEPAKNTR,Deepak Nitrite Limited,-,EQ,2, Annual General Meeting/Dividend- Rs 1.30 Per Share,25-Jul-18,-,27-Jul-18,03-Aug-18,-,-
NIBL,NRB Industrial Bearings Limited,-,EQ,2, Annual General Meeting,25-Jul-18,-,27-Jul-18,02-Aug-18,-,-
EIDPARRY,EID Parry India Limited,-,EQ,1, Annual General Meeting/Dividend- Rs 3 Per Share,25-Jul-18,-,27-Jul-18,08-Aug-18,-,-
RANEHOLDIN,Rane Holdings Limited,-,EQ,10, Annual General Meeting / Dividend- Rs 9 Per Share,25-Jul-18,26-Jul-18,-,-,-,-
TCIEXP,TCI Express Limited,-,EQ,2, Annual General Meeting/Dividend- Re 0.50 Per Share,25-Jul-18,-,27-Jul-18,01-Aug-18,-,-
MAHLOG,Mahindra Logistics Limited,-,EQ,10, Dividend- Rs 1.50 Per Share,25-Jul-18,-,27-Jul-18,02-Aug-18,-,-
BSE,BSE Limited,-,EQ,2, Dividend- Rs 31 Per Share,25-Jul-18,26-Jul-18,-,-,-,-
KAYA,Kaya Limited,-,EQ,10, Annual General Meeting,25-Jul-18,-,27-Jul-18,03-Aug-18,-,-
EMAMILTD,Emami Limited,-,EQ,1, Annual General Meeting,25-Jul-18,-,27-Jul-18,01-Aug-18,-,-
SICAGEN,Sicagen India Limited,-,EQ,10, Annual General Meeting / Dividend- Re 0.60 Per Share,26-Jul-18,-,28-Jul-18,06-Aug-18,-,-
MAJESCO,Majesco Limited,-,EQ,5, Annual General Meeting,26-Jul-18,-,28-Jul-18,03-Aug-18,-,-
COSMOFILMS,Cosmo Films Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 6 Per Share,26-Jul-18,-,28-Jul-18,03-Aug-18,-,-
THERMAX,Thermax Limited,-,EQ,2, Annual General Meeting/ Dividend- Rs 6 Per Share,26-Jul-18,-,30-Jul-18,08-Aug-18,-,-
ASIANHOTNR,Asian Hotels (North) Limited,-,EQ,10, Annual General Meeting,26-Jul-18,-,28-Jul-18,31-Jul-18,-,-
RAMCOIND,Ramco Industries Limited,-,EQ,1, Annual General Meeting/Dividend- Re 0.50 Per Share,26-Jul-18,27-Jul-18,-,-,-,-
TAJGVK,Taj GVK Hotels & Resorts Limited,-,EQ,2, Annual General Meeting / Dividend- Re 0.60 Per Share,26-Jul-18,-,28-Jul-18,03-Aug-18,-,-
TIL,TIL Limited,-,EQ,10, Dividend- Rs 3.50 Per Share,26-Jul-18,-,30-Jul-18,06-Aug-18,-,-
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,-,EQ,10, Annual General Meeting/Dividend Rs 1.70 Per Share (Book Closure Start Date Revised),26-Jul-18,-,30-Jul-18,06-Aug-18,-,-
PENINLAND,Peninsula Land Limited,-,EQ,2, Annual General Meeting,26-Jul-18,-,28-Jul-18,06-Aug-18,-,-
SUBROS,Subros Limited,-,EQ,2, Annual General Meeting/Dividend- Rs 1.10 Per Share,26-Jul-18,-,30-Jul-18,09-Aug-18,-,-
SHRIRAMEPC,Shriram EPC Limited,-,EQ,10, Annual General Meeting,26-Jul-18,-,30-Jul-18,03-Aug-18,-,-
INDIAGLYCO,India Glycols Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 4 Per Share,26-Jul-18,-,28-Jul-18,04-Aug-18,-,-
FSL,Firstsource Solutions Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 1.50 Per Share,26-Jul-18,-,30-Jul-18,06-Aug-18,-,-
ADANIPOWER,Adani Power Limited,-,EQ,10, Annual General Meeting,26-Jul-18,-,30-Jul-18,06-Aug-18,-,-
FOSECOIND,Foseco India Limited,-,EQ,10, Interim Dividend - Rs 7 Per Share (Purpose Revised),26-Jul-18,28-Jul-18,-,-,-,-
JBFIND,JBF Industries Limited,-,EQ,10, Annual General Meeting,26-Jul-18,-,30-Jul-18,03-Aug-18,-,-
REFEX,Refex Industries Limited,-,EQ,10, Annual General Meeting,26-Jul-18,-,28-Jul-18,31-Jul-18,-,-
GRAPHITE,Graphite India Limited,-,EQ,2, Dividend- Rs 12 Per Share,26-Jul-18,-,28-Jul-18,06-Aug-18,-,-
MPHASIS,MphasiS Limited,-,EQ,10, Annual General Meeting / Dividend- Rs 20 Per Share,26-Jul-18,-,28-Jul-18,07-Aug-18,-,-
BASF,BASF India Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 3 Per Share,26-Jul-18,-,28-Jul-18,03-Aug-18,-,-
UGARSUGAR,The Ugar Sugar Works Limited,-,EQ,1, Annual General Meeting,26-Jul-18,-,30-Jul-18,10-Aug-18,-,-
ADANIPORTS,Adani Ports and Special Economic Zone Limited,-,EQ,2, Annual General Meeting/Dividend- Rs 2 Per Share,26-Jul-18,-,30-Jul-18,06-Aug-18,-,-
NATHBIOGEN,Nath Bio-Genes (India) Limited,-,EQ,10, Annual General Meeting,26-Jul-18,-,30-Jul-18,04-Aug-18,-,-
TCI,Transport Corporation of India Limited,-,EQ,2, Annual General Meeting,26-Jul-18,-,28-Jul-18,02-Aug-18,-,-
RAMCOCEM,The Ramco Cements Limited,-,EQ,1, Annual General Meeting / Dividend- Rs 3 Per Share,26-Jul-18,27-Jul-18,-,-,-,-
BERGEPAINT,Berger Paints (I) Limited,-,EQ,1, Annual General Meeting/Dividend- Rs 1.80 Per Share,26-Jul-18,-,28-Jul-18,03-Aug-18,-,-
BLUESTARCO,Blue Star Limited,-,EQ,2, Annual General Meeting/ Final Dividend- Rs 8.50 Per Share/ Special Dividend- Rs 1.50 Per Share,26-Jul-18,-,28-Jul-18,08-Aug-18,-,-
BBTC,Bombay Burmah Trading Corporation Limited,-,EQ,2, Annual General Meeting/Dividend- Re 1 Per Share,26-Jul-18,-,28-Jul-18,08-Aug-18,-,-
SANGHVIMOV,Sanghvi Movers Limited,-,EQ,2, Annual General Meeting,26-Jul-18,-,30-Jul-18,13-Aug-18,-,-
TECHM,Tech Mahindra Limited,-,EQ,5, Annual General Meeting/Dividend- Rs 14 Per Share,26-Jul-18,-,28-Jul-18,31-Jul-18,-,-
ADLABS,Adlabs Entertainment Limited,-,EQ,10, Annual General Meeting,26-Jul-18,-,28-Jul-18,03-Aug-18,-,-
ASPINWALL,Aspinwall and Company Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 3.50 Per Share,26-Jul-18,-,28-Jul-18,01-Aug-18,-,-
RBLBANK,RBL Bank Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 2.10 Per Share,26-Jul-18,-,28-Jul-18,03-Aug-18,-,-
EVEREADY,Eveready Industries India Limited,-,EQ,5, Annual General Meeting/Dividend- Rs 1.50 Per Share,26-Jul-18,-,30-Jul-18,06-Aug-18,-,-
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,-,EQ,2, Annual General Meeting/Dividend Re 0.20 Per Share,27-Jul-18,-,31-Jul-18,09-Aug-18,-,-
ADANIGREEN,Adani Green Energy Limited,-,EQ,10, Annual General Meeting,27-Jul-18,-,31-Jul-18,07-Aug-18,-,-
HONAUT,Honeywell Automation India Limited,-,EQ,10, Dividend- Rs 32 Per Share,27-Jul-18,30-Jul-18,-,-,-,-
BHARATFORG,Bharat Forge Limited,-,EQ,2, Annual General Meeting/Dividend- Rs 2.50 Per Share,27-Jul-18,-,31-Jul-18,09-Aug-18,-,-
CRISIL,CRISIL Limited,-,EQ,1, Interim Dividend - Rs 6 Per Share (Purpose Revised),27-Jul-18,30-Jul-18,-,-,-,-
INSECTICID,Insecticides (India) Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 2 Per Share,27-Jul-18,-,31-Jul-18,08-Aug-18,-,-
JSWENERGY,JSW Energy Limited,-,EQ,10, Annual General Meeting,27-Jul-18,-,31-Jul-18,06-Aug-18,-,-
PRAJIND,Praj Industries Limited,-,EQ,2, Annual General Meeting/Dividend- Rs 1.62 Per Share,27-Jul-18,-,31-Jul-18,06-Aug-18,-,-
SIYSIL,Siyaram Silk Mills Limited,-,EQ,2, Annual General Meeting/Dividend- Rs 2 Per Share,27-Jul-18,-,31-Jul-18,03-Aug-18,-,-
MANALIPETC,Manali Petrochemicals Limited,-,EQ,5, Annual General Meeting / Dividend- Re 0.50 Per Share,27-Jul-18,-,31-Jul-18,06-Aug-18,-,-
BRITANNIA,Britannia Industries Limited,-,EQ,1, Annual General Meeting / Dividend- Rs 25 Per Share,27-Jul-18,-,31-Jul-18,06-Aug-18,-,-
ADANIENT,Adani Enterprises Limited,-,EQ,1, Annual General Meeting/Dividend Re 0.40 Per Share,27-Jul-18,-,31-Jul-18,07-Aug-18,-,-
KARMAENG,Karma Energy Limited,-,EQ,10, Annual General Meeting,27-Jul-18,-,31-Jul-18,31-Jul-18,-,-
HIL,HIL Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 12.50 Per Share,27-Jul-18,-,31-Jul-18,06-Aug-18,-,-
TRENT,Trent Limited,-,EQ,1, Annual General Meeting/Dividend- Rs 1.15 Per Share,27-Jul-18,-,31-Jul-18,02-Aug-18,-,-
KALYANI,Kalyani Commercials Limited,-,EQ,10, Annual General Meeting,27-Jul-18,-,31-Jul-18,06-Aug-18,-,-
ADANITRANS,Adani Transmission Limited,-,EQ,10, Annual General Meeting,27-Jul-18,-,31-Jul-18,07-Aug-18,-,-
RGL,Renaissance Global Limited,-,EQ,10, Annual General Meeting,27-Jul-18,-,31-Jul-18,07-Aug-18,-,-
ALEMBICLTD,Alembic Limited,-,EQ,2, Annual General Meeting/Dividend- Re 0.20 Per Share,27-Jul-18,-,31-Jul-18,07-Aug-18,-,-
SPIC,Southern Petrochemicals Industries Corporation  Limited,-,EQ,10, Annual General Meeting,30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
AUBANK,AU Small Finance Bank Limited,-,EQ,10, Annual General Meeting/Dividend- Re 0.50 Per Share,30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
NBVENTURES,Nava Bharat Ventures Limited,-,EQ,2, Annual General Meeting/Dividend Rs 1.50/- Per Share,30-Jul-18,-,01-Aug-18,06-Aug-18,-,-
ASAHIINDIA,Asahi India Glass Limited,-,EQ,1, Annual General Meeting/Dividend- Rs 1.50 Per Share,30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
SRF,SRF Limited,-,EQ,10, Annual General Meeting,30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
JMCPROJECT,JMC Projects (India)  Limited,-,EQ,2, Annual General Meeting/Dividend- Rs 3 Per Share,30-Jul-18,-,01-Aug-18,06-Aug-18,-,-
DTIL,Dhunseri Tea & Industries Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 8 Per Share,30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
KALPATPOWR,Kalpataru Power Transmission Limited,-,EQ,2, Annual General Meeting/Dividend- Rs 2.5 Per Share,30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
WEIZMANIND,Weizmann Limited,-,EQ,10, Annual General Meeting/Dividend- Re 0.50 Per Share,30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
ZENSARTECH,Zensar Technologies Limited,-,EQ,2, Annual General Meeting / Dividend - Rs 7 Per Share,30-Jul-18,-,01-Aug-18,08-Aug-18,-,-
WEIZFOREX,Weizmann Forex Limited,-,EQ,10, Annual General Meeting/Dividend- Re 1 Per Share,30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
ALLSEC,Allsec Technologies Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 5 Per Share,30-Jul-18,-,01-Aug-18,09-Aug-18,-,-
TNPETRO,Tamilnadu PetroProducts Limited,-,EQ,10, Annual General Meeting/Dividend Re 0.50 Per Share,30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
NCC,NCC Limited,-,EQ,2, Dividend- Re 1 Per Share,30-Jul-18,-,01-Aug-18,03-Aug-18,-,-
DHANUKA,Dhanuka Agritech Limited,-,EQ,2, Annual General Meeting / Dividend- Rs 3.50 Per Share,30-Jul-18,-,01-Aug-18,10-Aug-18,-,-
PIIND,PI Industries Limited,-,EQ,1, Annual General Meeting/Dividend- Rs 2.50 Per Share,30-Jul-18,-,01-Aug-18,06-Aug-18,-,-
WONDERLA,Wonderla Holidays Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 1.50 Per Share,30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
GSCLCEMENT,Gujarat Sidhee Cement Limited,-,EQ,10, Annual General Meeting,30-Jul-18,-,01-Aug-18,13-Aug-18,-,-
TIINDIA,Tube Investments of India Limited,-,EQ,1, Dividend- Re 0.50 Per Share,30-Jul-18,-,01-Aug-18,13-Aug-18,-,-
AVANTIFEED,Avanti Feeds Limited,-,EQ,1, Dividend- Re 6 Per Share (Rate Revised),30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
CLEDUCATE,CL Educate Limited,-,EQ,10, Annual General Meeting,30-Jul-18,-,01-Aug-18,07-Aug-18,-,-
LUPIN,Lupin Limited,-,EQ,2, Annual General Meeting/Dividend Rs 5/- Per Share,30-Jul-18,-,01-Aug-18,08-Aug-18,-,-
KKCL,Kewal Kiran Clothing Limited,-,EQ,10, Interim Dividend- Rs 7 Per Share,31-Jul-18,01-Aug-18,-,-,-,-
MINDAIND,Minda Industries Limited,-,EQ,2, Annual General Meeting,31-Jul-18,-,02-Aug-18,08-Aug-18,-,-
GABRIEL,Gabriel India Limited,-,EQ,1, Annual General Meeting/Dividend- Re 0.90 Per Share,31-Jul-18,-,02-Aug-18,08-Aug-18,-,-
CADILAHC,Cadila Healthcare Limited,-,EQ,1, Annual General Meeting/Dividend- Rs 3.50 Per Share (Purpose Revised),31-Jul-18,-,02-Aug-18,13-Aug-18,-,-
NESCO,Nesco Limited,-,EQ,2, Annual General Meeting/Dividend- Rs 2.30 Per Share,31-Jul-18,-,02-Aug-18,08-Aug-18,-,-
QUICKHEAL,Quick Heal Technologies Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 3 Per Share,31-Jul-18,-,02-Aug-18,08-Aug-18,-,-
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,-,EQ,10, Annual General Meeting / Dividend- Rs 75 Per Share,31-Jul-18,-,02-Aug-18,08-Aug-18,-,-
HIKAL,Hikal Limited,-,EQ,2, Annual General Meeting/Dividend- Re 0.50 Per Share,31-Jul-18,-,02-Aug-18,08-Aug-18,-,-
ROSSELLIND,Rossell India Limited,-,EQ,2, Annual General Meeting,31-Jul-18,-,02-Aug-18,08-Aug-18,-,-
LSIL,Lloyds Steels Industries Limited,-,EQ,1, Annual General Meeting,31-Jul-18,-,02-Aug-18,09-Aug-18,-,-
GKWLIMITED,GKW Limited,-,EQ,10, Annual General Meeting,31-Jul-18,-,02-Aug-18,08-Aug-18,-,-
APARINDS,Apar Industries Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 9.50 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
INEOSSTYRO,INEOS Styrolution India Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 4 Per Share,01-Aug-18,-,03-Aug-18,03-Aug-18,-,-
GRANULES,Granules India Limited,-,EQ,1, Interim Dividend- Re 0.25 Per Share,01-Aug-18,02-Aug-18,-,-,-,-
ESABINDIA,Esab India Limited,-,EQ,10, Annual General Meeting/Dividend- Re 1 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
NRBBEARING,NRB Bearing Limited,-,EQ,2, Annual General Meeting / Dividend- Rs 1.20 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
AARTIDRUGS,Aarti Drugs Limited,-,EQ,10, Annual General Meeting/Dividend- Re 1 Per Share,01-Aug-18,-,03-Aug-18,10-Aug-18,-,-
WABAG,VA Tech Wabag Limited,-,EQ,2, Annual General Meeting/Dividend-Rs 4 Per Share,01-Aug-18,-,03-Aug-18,10-Aug-18,-,-
DHUNINV,Dhunseri Investments Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 1.50 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
MRF,MRF Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 54 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
CLNINDIA,Clariant Chemicals (India) Limited,-,EQ,10, Annual General Meeting / Dividend- Rs 5 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
TATACOMM,Tata Communications Limited,-,EQ,10, Dividend- Rs 4.50 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
MCLEODRUSS,Mcleod Russel India Limited,-,EQ,5, Annual General Meeting/Dividend- Re 0.50 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
JETAIRWAYS,Jet Airways (India) Limited,-,EQ,10, Annual General Meeting,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
IVP,IVP Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 2 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
IRB,IRB Infrastructure Developers Limited,-,EQ,10, Interim Dividend- Rs 2.50 Per Share (Purpose Revised),01-Aug-18,02-Aug-18,-,-,-,-
SAKSOFT,Saksoft Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 3.50 Per Share,01-Aug-18,-,03-Aug-18,10-Aug-18,-,-
EMKAY,Emkay Global Financial Services Limited,-,EQ,10, Annual General Meeting/Final Dividend Rs 1.50 Per Share/Special Dividend Re 0.50 Per Share,01-Aug-18,-,03-Aug-18,14-Aug-18,-,-
RATNAMANI,Ratnamani Metals & Tubes Limited,-,EQ,2, Annual General Meeting/Dividend- Rs 6 Per Share (Purpose Revised),01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
AEGISCHEM,Aegis Logistics Limited,-,EQ,1, Annual General Meeting/Dividend- Re 0.75 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
TVSELECT,TVS Electronics Limited,-,EQ,10, Dividend- Rs 1.50 Per Share,01-Aug-18,02-Aug-18,-,-,-,-
SWELECTES,Swelect Energy Systems Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 4 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
EXCELINDUS,Excel Industries Limited,-,EQ,5, Annual General Meeting/Dividend- Rs 12.5 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
SUNDRMBRAK,Sundaram Brake Linings Limited,-,EQ,10, Annual General Meeting,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
TTL,T T Limited,-,EQ,10, Annual General Meeting,01-Aug-18,-,03-Aug-18,08-Aug-18,-,-
BLUECOAST,Blue Coast Hotels Limited,-,EQ,10, Annual General Meeting,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
GPPL,Gujarat Pipavav Port Limited,-,EQ,10, Annual General Meeting / Dividend- Rs 1.70 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
TCIFINANCE,TCI Finance Limited,-,EQ,10, Annual General Meeting,01-Aug-18,-,03-Aug-18,10-Aug-18,-,-
SMLISUZU,SML Isuzu Limited,-,EQ,10, Annual General Meeting / Dividend- Rs 1.50 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
ELGIRUBCO,Elgi Rubber Company Limited,-,EQ,1, Annual General Meeting,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
UFO,UFO Moviez India Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 12.50 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
SKIPPER,Skipper Limited,-,EQ,1, Annual General Meeting/Dividend- Rs 1.65 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
SHK,S H Kelkar and Company Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 1.75 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
INDIGRID,India Grid Trust,-,IV,100, Distribution Rs 3 Per Unit For The First Quarter Of Fy 2018-19(Purpose Revised),01-Aug-18,02-Aug-18,-,-,-,-
GMMPFAUDLR,GMM Pfaudler Limited,-,EQ,2, Annual General Meeting / Dividend- Rs 1.90 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
GALAXYSURF,Galaxy Surfactants Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 7 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
NDGL,Naga Dhunseri Group Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 2.50 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
NEWGEN,Newgen Software Technologies Limited,-,EQ,10, Annual General Meeting / Dividend- Rs 2 Per Share,01-Aug-18,-,03-Aug-18,09-Aug-18,-,-
HIRECT,Hind Rectifiers Limited,-,EQ,2, Annual General Meeting,01-Aug-18,-,03-Aug-18,13-Aug-18,-,-
TIMKEN,Timken India Limited,-,EQ,10, Annual General Meeting/Dividend- Re 1 Per Share,02-Aug-18,-,04-Aug-18,10-Aug-18,-,-
KSCL,Kaveri Seed Company Limited,-,EQ,2, Buyback,02-Aug-18,03-Aug-18,-,-,-,-
GESHIP,The Great Eastern Shipping Company Limited,-,EQ,10, Annual General Meeting/Dividend- Rs 7.20 Per Share,02-Aug-18,-,04-Aug-18,10-Aug-18,-,-
DECCANCE,Deccan Cements Limited,-,EQ,5, Annual General Meeting/Dividend- Rs 3 Per Share,02-Aug-18,-,04-Aug-18,10-Aug-18,-,-
PLASTIBLEN,Plastiblends India Limited,-,EQ,5, Annual General Meeting/Dividend- Rs 2.50 Per Share,02-Aug-18,-,04-Aug-18,10-Aug-18,-,-
MUKANDENGG,Mukand Engineers Limited,-,EQ,10, Annual General Meeting,02-Aug-18,-,04-Aug-18,13-Aug-18,-,-
ELGIEQUIP,Elgi Equipments Limited,-,EQ,1, Annual General Meeting/Dividend- Rs 1.20 Per Share,02-Aug-18,-,04-Aug-18,10-Aug-18,-,-
BRIGADE,Brigade Enterprises Limited,-,EQ,10, Dividend- Rs 2 Per Share,02-Aug-18,03-Aug-18,-,-,-,-
FEDERALBNK,The Federal Bank  Limited,-,EQ,2, Annual General Meeting/Dividend- Re 1 Per Share,02-Aug-18,-,04-Aug-18,10-Aug-18,-,-
HEXAWARE,Hexaware Technologies Limited,-,EQ,2, Interim Dividend- Rs 2.50 Per Share,02-Aug-18,03-Aug-18,-,-,-,-
